"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 11:22:47 GMT 2024","Fri Feb 16 11:22:49 GMT 2024","1819","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldNotBeRemovedIfDeletionConfirmationWasCanceled","Project should not be deleted if deletion confirmation was canceled",""
"passed","Fri Feb 16 11:21:54 GMT 2024","Fri Feb 16 11:21:56 GMT 2024","2400","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBeCreated","Test Case should be created",""
"passed","Fri Feb 16 11:22:33 GMT 2024","Fri Feb 16 11:22:35 GMT 2024","1602","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","userShouldBeForcedToChangePasswordIfItsLeaked","The user should be forced to change password if it's information is leaked",""
"passed","Fri Feb 16 11:23:05 GMT 2024","Fri Feb 16 11:23:08 GMT 2024","2541","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","sameProjectCodeExists","Try to create new project with existing project code in use",""
"passed","Fri Feb 16 11:22:56 GMT 2024","Fri Feb 16 11:23:02 GMT 2024","6581","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","rowsPerPageDefinesNumberOfProjectsDisplayedOnPage","Rows per page defines number of projects displayed on page",""
"passed","Fri Feb 16 11:22:14 GMT 2024","Fri Feb 16 11:22:25 GMT 2024","11703","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","passwordFieldShouldBeMandatory","Password field should be mandatory",""
"passed","Fri Feb 16 11:22:21 GMT 2024","Fri Feb 16 11:22:25 GMT 2024","4578","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Fri Feb 16 11:22:27 GMT 2024","Fri Feb 16 11:22:31 GMT 2024","3813","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Successful login to Qase",""
"passed","Fri Feb 16 11:22:31 GMT 2024","Fri Feb 16 11:22:44 GMT 2024","13285","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeRemovedIfItWasDeleted","Project should be removed if it was deleted",""
"passed","Fri Feb 16 11:22:11 GMT 2024","Fri Feb 16 11:22:16 GMT 2024","5659","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Fri Feb 16 11:21:49 GMT 2024","Fri Feb 16 11:21:54 GMT 2024","4483","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","credentialsShouldBeCorrect","Credentials should be correct",""
"passed","Fri Feb 16 11:22:14 GMT 2024","Fri Feb 16 11:22:15 GMT 2024","1552","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeLessThen11Characters","Try to create new project with too long project code",""
"passed","Fri Feb 16 11:21:52 GMT 2024","Fri Feb 16 11:21:56 GMT 2024","4326","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","createdProjectShouldBeDisplayedInProjectsList","Created project displayed in projects list",""
"passed","Fri Feb 16 11:22:24 GMT 2024","Fri Feb 16 11:22:27 GMT 2024","3301","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeCreated","Create new project",""
"passed","Fri Feb 16 11:21:56 GMT 2024","Fri Feb 16 11:22:08 GMT 2024","12150","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailFieldShouldBeMandatory","Email field should be mandatory",""
"passed","Fri Feb 16 11:22:18 GMT 2024","Fri Feb 16 11:22:20 GMT 2024","1249","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeMoreThen1Character","Try to create new project with too short project code",""
"passed","Fri Feb 16 11:22:02 GMT 2024","Fri Feb 16 11:22:05 GMT 2024","2899","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBelongToItsSuite","Test Case should belong to it's test suite",""
"passed","Fri Feb 16 11:22:05 GMT 2024","Fri Feb 16 11:22:09 GMT 2024","4068","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","pageNavigationButtonsShouldChangeListOfProjects","Page navigation should work correctly",""
"passed","Fri Feb 16 11:22:11 GMT 2024","Fri Feb 16 11:22:12 GMT 2024","1510","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailMustMatchEmailFormat","Email must match email format",""
"passed","Fri Feb 16 11:22:01 GMT 2024","Fri Feb 16 11:22:02 GMT 2024","998","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","incorrectProjectCodeFormat","Try to create new project with too long project code",""
"failed","Fri Feb 16 11:21:55 GMT 2024","Fri Feb 16 11:22:10 GMT 2024","14743","QaseIO smoke test","Thread #4","tests.TestPlanTest","tests.TestPlanTest","testPlanShouldBeCreated","Test Plan positive creation",""
"passed","Fri Feb 16 11:22:31 GMT 2024","Fri Feb 16 11:22:35 GMT 2024","4205","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
